date,employed_percent
2011-01-01,0.5739699991710481
2011-02-01,0.7226289415668177
2011-03-01,0.5688503263114271
2011-04-01,0.6647051591090687
2011-05-01,0.6033092536375193
2011-06-01,0.37876091958580815
2011-07-01,0.44503778111729275
2011-08-01,0.30471226658095674
2011-09-01,0.6153635495758536
2011-10-01,0.6623095043062506
2011-11-01,0.4099951108604287
2011-12-01,0.5224833088128449
2012-01-01,0.2797261869468386
2012-02-01,0.33318003826604325
2012-03-01,0.4857338743375976
2012-04-01,0.2736580632698775
2012-05-01,0.07869653545915867
2012-06-01,0.32372470654683383
2012-07-01,0.151026726990807
2012-08-01,0.3005371046214407
2012-09-01,0.09706231386287811
2012-10-01,-0.008876396719138313
2012-11-01,0.15241123332769746
2012-12-01,0.09337956809366688
2013-01-01,0.20037937675154893
2013-02-01,-0.026863161789847823
2013-03-01,-0.05515133177255649
2013-04-01,0.014441389834445317
2013-05-01,0.17519221992064615
2013-06-01,-0.020658832921100156
2013-07-01,0.19925919884899201
2013-08-01,0.15291647977204548
2013-09-01,-0.017960600635511526
2013-10-01,0.030488820785755877
2013-11-01,0.08758504250995713
2013-12-01,0.12840919964015285
2014-01-01,0.12977006403647806
2014-02-01,0.2373460961259113
2014-03-01,0.06354624207411774
2014-04-01,0.033008398392993854
2014-05-01,0.1653301653301753
2014-06-01,0.21006791992976304
2014-07-01,0.254999136898185
2014-08-01,-0.003768746225780717
2014-09-01,0.07931701916611189
2014-10-01,0.11989250414366381
2014-11-01,-0.02260308103652875
2014-12-01,0.1857338100612722
2015-01-01,0.3005445431272378
2015-02-01,0.06343249576026011
2015-03-01,0.2672047890111173
2015-04-01,0.13240580037742689
2015-05-01,0.12094406998865281
2015-06-01,0.10541574747708893
2015-07-01,0.06317900132631138
2015-08-01,0.3022773817797102
2015-09-01,0.2777574874102626
2015-10-01,0.20361347044320866
2015-11-01,0.21226198741526758
2015-12-01,0.03279840079400742
2016-01-01,0.2557729802996178
2016-02-01,0.29454997167187
2016-03-01,0.13732443454127718
2016-04-01,0.30599768510749215
2016-05-01,0.15635635182043472
2016-06-01,0.1862001290434776
2016-07-01,0.15221521040205488
2016-08-01,0.11209766208423133
2016-09-01,0.26358845712479706
2016-10-01,0.20499766558894095
2016-11-01,0.3173006256319866
2016-12-01,0.44845629126373154
2017-01-01,0.1624705271252722
2017-02-01,0.17495603058616638
2017-03-01,0.26592226700800126
2017-04-01,0.035564213374662756
2017-05-01,0.2735379794966093
2017-06-01,0.2865727098371096
2017-07-01,0.2854841200274407
2017-08-01,0.17163197296628852
2017-09-01,0.08255791469997575
2017-10-01,0.12784384578737473
2017-11-01,0.24172684159701419
2017-12-01,0.02715116454989186
2018-01-01,0.22049397892238431
2018-02-01,0.2466486417716851
2018-03-01,0.22119913637060762
2018-04-01,0.28951705622182544
2018-05-01,0.1000754188241757
2018-06-01,0.07469771465262909
2018-07-01,0.14660325788769768
2018-08-01,0.17158032943423507
2018-09-01,0.1446371508091957
2018-10-01,0.22918571486675177
2018-12-01,0.1446483490486301
2019-01-01,0.02741157883163936
2019-02-01,0.1871564376502235
2019-03-01,0.1384599681284584
2019-04-01,0.16568968108715154
2019-05-01,0.2515662135299337
2019-06-01,0.18189201622457318
2019-07-01,0.1726664776518092
2019-08-01,0.062320347593477265
2019-09-01,0.17012751613826538
2019-10-01,0.12979825642429432
2019-11-01,0.06000236838415418
2019-12-01,-0.02053592130103965
2020-01-01,0.03210704795570507
2020-02-01,-0.2596361096878539
2020-03-01,-0.1875103763480226
2020-04-01,-0.2197733447733441
2020-05-01,-0.39268347124382785
2020-06-01,-0.49626239636273084
2020-07-01,-0.5314657363882418
2020-08-01,-0.4388295892381251
2020-09-01,-0.45451415938614304
2020-10-01,-0.29485268717257895
2020-11-01,-0.4965939860815922
2020-12-01,-0.300233651804966
2021-01-01,-0.5051753839353665
2021-02-01,-0.37903597736821126
2021-03-01,-0.15561407708882058
2021-04-01,-0.2259656669221073
2021-05-01,-0.05142074531838858
2021-06-01,0.16215430989085888
2021-07-01,0.2981242204184653
2021-08-01,0.26953152518491663
2021-09-01,0.19378313078782838
2021-10-01,0.13014750161576671
2021-11-01,0.24263653944111496
2021-12-01,0.13757629579509256
2022-01-01,0.3015492007356997
2022-02-01,0.5670245558673415
2022-03-01,0.4474871765729702
2022-04-01,0.2667467356293258
2022-05-01,0.3970631216299054
2022-06-01,0.18451684546591451
2022-07-01,-0.007031689224362481
2022-08-01,0.08145880185330867
2022-09-01,0.12321118862454483
2022-10-01,0.02408302630023229
2022-11-01,0.20073708898232212
2022-12-01,0.14829386006534406
2023-01-01,0.18698816200024737
2023-02-01,-0.01631875495714752
2023-03-01,0.007892993366610312
2023-04-01,0.09940856011877486
2023-05-01,0.02029333111902787
2023-06-01,0.03889499698659904
2023-07-01,0.1749671340187291
2023-08-01,-0.03298617085437172
2023-09-01,0.04814868364091751
2023-10-01,-0.043267617372798384
2023-11-01,-0.05024047184156899
2023-12-01,-0.030598497248689682
2024-01-01,-0.0009765053343002705
2024-02-01,-0.20488599547302044
2024-03-01,-0.21351992824256882
2024-04-01,-0.0363788920280399
2024-05-01,-0.34938437565314473
2024-06-01,-0.1814045787866263
2024-07-01,-0.2900495856569023
2024-08-01,-0.24491536109643874
2024-09-01,-0.08319543085411851
2024-10-01,-0.03738316319546442
2024-11-01,-0.11985053115417088
2024-12-01,-0.09520026919759772
2025-01-01,-0.27357460220557783
2025-02-01,-0.058575389721596594
2025-03-01,-0.1291899382725319
2025-04-01,-0.2971005350580853
2025-05-01,-0.09447762368674262
2025-06-01,-0.08309156184142807
2025-07-01,-0.12242374227571418
2025-08-01,-0.10575815025464408
2025-09-01,-0.42525205566130353
2025-10-01,-0.1449780821139015
